customer_id,stock_code,similarity_score,rank,match_reason
12361,21558,0.865713,3,"{""co_purchased_with"": ""21559"", ""source"": ""동시구매"", ""segment_support"": 0.021595}"
12362,22556,0.795373,1,"{""co_purchased_with"": ""22555"", ""source"": ""동시구매"", ""segment_support"": 0.216849}"
12362,23192,0.787258,2,"{""co_purchased_with"": ""23190"", ""source"": ""동시구매"", ""segment_support"": 0.099064}"
12362,23084,0.785824,3,"{""co_purchased_with"": ""21731"", ""source"": ""동시구매"", ""segment_support"": 0.217629}"
12363,22417,0.873089,1,"{""co_purchased_with"": ""84991"", ""source"": ""동시구매"", ""segment_support"": 0.041591}"
12363,21975,0.847066,2,"{""co_purchased_with"": ""84992"", ""source"": ""동시구매"", ""segment_support"": 0.0434}"
12363,84987,0.84357,3,"{""co_purchased_with"": ""21974"", ""source"": ""동시구매"", ""segment_support"": 0.036166}"
12364,16161P,0.753261,1,"{""co_purchased_with"": ""21498"", ""source"": ""동시구매"", ""segment_support"": 0.025316}"
12364,21497,0.75013,2,"{""co_purchased_with"": ""21498"", ""source"": ""동시구매"", ""segment_support"": 0.020344}"
12364,21210,0.748975,3,"{""co_purchased_with"": ""21212"", ""source"": ""동시구매"", ""segment_support"": 0.042495}"
12365,21114,0.775227,1,"{""co_purchased_with"": ""84884A"", ""source"": ""동시구매"", ""segment_support"": 0.029385}"
12365,22487,0.762406,2,"{""co_purchased_with"": ""22478"", ""source"": ""동시구매"", ""segment_support"": 0.054702}"
12365,72760B,0.755918,3,"{""co_purchased_with"": ""84884A"", ""source"": ""동시구매"", ""segment_support"": 0.020796}"
12366,22178,0.805966,1,"{""co_purchased_with"": ""84879"", ""source"": ""동시구매"", ""segment_support"": 0.049729}"
12366,23061,0.786884,2,"{""co_purchased_with"": ""84879"", ""source"": ""동시구매"", ""segment_support"": 0.007233}"
12366,22487,0.785699,3,"{""co_purchased_with"": ""84879"", ""source"": ""동시구매"", ""segment_support"": 0.054702}"
12367,22328,0.794956,1,"{""co_purchased_with"": ""22629"", ""source"": ""동시구매"", ""segment_support"": 0.029018}"
12367,22326,0.781628,2,"{""co_purchased_with"": ""22629"", ""source"": ""동시구매"", ""segment_support"": 0.058036}"
12367,21731,0.766152,3,"{""co_purchased_with"": ""22629"", ""source"": ""동시구매"", ""segment_support"": 0.044643}"
12368,21843,0.795286,1,"{""co_purchased_with"": ""22348"", ""source"": ""동시구매"", ""segment_support"": 0.040235}"
12368,22063,0.79292,2,"{""co_purchased_with"": ""22055"", ""source"": ""동시구매"", ""segment_support"": 0.007685}"
12368,22059,0.774911,3,"{""co_purchased_with"": ""22055"", ""source"": ""동시구매"", ""segment_support"": 0.009494}"
12369,22326,0.762348,1,"{""co_purchased_with"": ""21731"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12369,22139,0.756764,2,"{""co_purchased_with"": ""22367"", ""source"": ""동시구매"", ""segment_support"": 0.143688}"
12369,22352,0.746127,3,"{""co_purchased_with"": ""21559"", ""source"": ""동시구매"", ""segment_support"": 0.051495}"
12370,21114,0.775456,1,"{""co_purchased_with"": ""21385"", ""source"": ""동시구매"", ""segment_support"": 0.095944}"
12370,20971,0.714703,2,"{""co_purchased_with"": ""20972"", ""source"": ""동시구매"", ""segment_support"": 0.181747}"
12370,22189,0.714447,3,"{""co_purchased_with"": ""85123A"", ""source"": ""동시구매"", ""segment_support"": 0.192668}"
12371,22086,0.712913,1,"{""co_purchased_with"": ""84347"", ""source"": ""동시구매"", ""segment_support"": 0.076401}"
12371,22174,0.709462,2,"{""co_purchased_with"": ""22371"", ""source"": ""동시구매"", ""segment_support"": 0.014919}"
12371,21733,0.707112,3,"{""co_purchased_with"": ""22113"", ""source"": ""동시구매"", ""segment_support"": 0.052893}"
12372,21731,0.804081,1,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.035262}"
12372,22554,0.80239,2,"{""co_purchased_with"": ""22551"", ""source"": ""동시구매"", ""segment_support"": 0.05425}"
12372,22636,0.794505,3,"{""co_purchased_with"": ""21452"", ""source"": ""동시구매"", ""segment_support"": 0.023056}"
12373,22352,0.820845,1,"{""co_purchased_with"": ""22328"", ""source"": ""동시구매"", ""segment_support"": 0.051495}"
12373,22329,0.81831,2,"{""co_purchased_with"": ""22328"", ""source"": ""동시구매"", ""segment_support"": 0.034053}"
12373,22385,0.813497,3,"{""co_purchased_with"": ""21931"", ""source"": ""동시구매"", ""segment_support"": 0.036545}"
12374,22139,0.812573,1,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12374,22197,0.798775,2,"{""co_purchased_with"": ""85099B"", ""source"": ""동시구매"", ""segment_support"": 0.058318}"
12374,20725,0.773276,3,"{""co_purchased_with"": ""22384"", ""source"": ""동시구매"", ""segment_support"": 0.05651}"
12375,21931,0.943155,1,"{""co_purchased_with"": ""85099C"", ""source"": ""동시구매"", ""segment_support"": 0.020089}"
12375,22386,0.938963,2,"{""co_purchased_with"": ""85099C"", ""source"": ""동시구매"", ""segment_support"": 0.020089}"
12375,22385,0.933563,3,"{""co_purchased_with"": ""20712"", ""source"": ""동시구매"", ""segment_support"": 0.017857}"
12376,22111,0.826128,1,"{""co_purchased_with"": ""22112"", ""source"": ""동시구매"", ""segment_support"": 0.103821}"
12376,21485,0.805928,2,"{""co_purchased_with"": ""22112"", ""source"": ""동시구매"", ""segment_support"": 0.093023}"
12376,22113,0.805275,3,"{""co_purchased_with"": ""22112"", ""source"": ""동시구매"", ""segment_support"": 0.059801}"
12377,22418,0.75801,1,"{""co_purchased_with"": ""22551"", ""source"": ""동시구매"", ""segment_support"": 0.027409}"
12377,22352,0.75765,2,"{""co_purchased_with"": ""21559"", ""source"": ""동시구매"", ""segment_support"": 0.051495}"
12377,21918,0.753129,3,"{""co_purchased_with"": ""21917"", ""source"": ""동시구매"", ""segment_support"": 0.037375}"
12378,22139,0.795139,1,"{""co_purchased_with"": ""22617"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12378,22090,0.768238,2,"{""co_purchased_with"": ""47590B"", ""source"": ""동시구매"", ""segment_support"": 0.04792}"
12378,22197,0.765599,3,"{""co_purchased_with"": ""21212"", ""source"": ""동시구매"", ""segment_support"": 0.058318}"
12379,21559,0.811552,1,"{""co_purchased_with"": ""22352"", ""source"": ""동시구매"", ""segment_support"": 0.027125}"
12379,20712,0.796249,2,"{""co_purchased_with"": ""85099B"", ""source"": ""동시구매"", ""segment_support"": 0.023056}"
12379,22662,0.788046,3,"{""co_purchased_with"": ""22382"", ""source"": ""동시구매"", ""segment_support"": 0.029837}"
12380,22352,0.789571,1,"{""co_purchased_with"": ""22328"", ""source"": ""동시구매"", ""segment_support"": 0.153666}"
12380,22139,0.788602,2,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.297972}"
12380,20718,0.778342,3,"{""co_purchased_with"": ""85099B"", ""source"": ""동시구매"", ""segment_support"": 0.170827}"
12381,22197,0.82499,1,"{""co_purchased_with"": ""21212"", ""source"": ""동시구매"", ""segment_support"": 0.058318}"
12381,22960,0.820519,2,"{""co_purchased_with"": ""22720"", ""source"": ""동시구매"", ""segment_support"": 0.057414}"
12381,22138,0.81775,3,"{""co_purchased_with"": ""22139"", ""source"": ""동시구매"", ""segment_support"": 0.124322}"
12383,84997C,0.770293,1,"{""co_purchased_with"": ""84997D"", ""source"": ""동시구매"", ""segment_support"": 0.095035}"
12383,21976,0.767621,2,"{""co_purchased_with"": ""22417"", ""source"": ""동시구매"", ""segment_support"": 0.083688}"
12383,21559,0.766872,3,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.087943}"
12384,22139,0.837379,1,"{""co_purchased_with"": ""21892"", ""source"": ""동시구매"", ""segment_support"": 0.089286}"
12384,20914,0.797726,2,"{""co_purchased_with"": ""23245"", ""source"": ""동시구매"", ""segment_support"": 0.044643}"
12384,23298,0.789321,3,"{""co_purchased_with"": ""23245"", ""source"": ""동시구매"", ""segment_support"": 0.0625}"
12385,20726,0.79436,1,"{""co_purchased_with"": ""21931"", ""source"": ""동시구매"", ""segment_support"": 0.042495}"
12385,20725,0.786191,2,"{""co_purchased_with"": ""85099B"", ""source"": ""동시구매"", ""segment_support"": 0.05651}"
12385,22467,0.783491,3,"{""co_purchased_with"": ""22727"", ""source"": ""동시구매"", ""segment_support"": 0.030289}"
12386,21260,0.823402,1,"{""co_purchased_with"": ""21906"", ""source"": ""동시구매"", ""segment_support"": 0.051495}"
12386,22487,0.798298,2,"{""co_purchased_with"": ""22557"", ""source"": ""동시구매"", ""segment_support"": 0.097176}"
12386,22494,0.775416,3,"{""co_purchased_with"": ""21906"", ""source"": ""동시구매"", ""segment_support"": 0.028239}"
12387,22549,0.855539,1,"{""co_purchased_with"": ""21791"", ""source"": ""동시구매"", ""segment_support"": 0.024864}"
12387,22534,0.824826,2,"{""co_purchased_with"": ""22539"", ""source"": ""동시구매"", ""segment_support"": 0.031646}"
12387,22544,0.817846,3,"{""co_purchased_with"": ""22540"", ""source"": ""동시구매"", ""segment_support"": 0.017631}"
12388,22993,0.795379,1,"{""co_purchased_with"": ""22961"", ""source"": ""동시구매"", ""segment_support"": 0.199688}"
12388,21212,0.784053,2,"{""co_purchased_with"": ""22417"", ""source"": ""동시구매"", ""segment_support"": 0.386115}"
12388,22487,0.779864,3,"{""co_purchased_with"": ""84978"", ""source"": ""동시구매"", ""segment_support"": 0.205148}"
12389,21731,0.790949,1,"{""co_purchased_with"": ""22466"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12389,22326,0.748298,2,"{""co_purchased_with"": ""20712"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12389,22467,0.747372,3,"{""co_purchased_with"": ""22892"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12390,22556,0.812704,1,"{""co_purchased_with"": ""22555"", ""source"": ""동시구매"", ""segment_support"": 0.052441}"
12390,22554,0.811065,2,"{""co_purchased_with"": ""22551"", ""source"": ""동시구매"", ""segment_support"": 0.05425}"
12390,22636,0.809502,3,"{""co_purchased_with"": ""22635"", ""source"": ""동시구매"", ""segment_support"": 0.023056}"
12391,22139,0.782271,1,"{""co_purchased_with"": ""22561"", ""source"": ""동시구매"", ""segment_support"": 0.297972}"
12391,22558,0.733829,2,"{""co_purchased_with"": ""22666"", ""source"": ""동시구매"", ""segment_support"": 0.195788}"
12391,20914,0.731073,3,"{""co_purchased_with"": ""22666"", ""source"": ""동시구매"", ""segment_support"": 0.216849}"
12392,22483,0.779744,1,"{""co_purchased_with"": ""22175"", ""source"": ""동시구매"", ""segment_support"": 0.015823}"
12392,21452,0.759382,2,"{""co_purchased_with"": ""22175"", ""source"": ""동시구매"", ""segment_support"": 0.017179}"
12392,20702,0.74012,3,"{""co_purchased_with"": ""20692"", ""source"": ""동시구매"", ""segment_support"": 0.01085}"
12393,22139,0.821892,1,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.208511}"
12393,22326,0.811972,2,"{""co_purchased_with"": ""21731"", ""source"": ""동시구매"", ""segment_support"": 0.08227}"
12393,21559,0.810157,3,"{""co_purchased_with"": ""20726"", ""source"": ""동시구매"", ""segment_support"": 0.087943}"
12394,22328,0.849096,1,"{""co_purchased_with"": ""22629"", ""source"": ""동시구매"", ""segment_support"": 0.028933}"
12394,22326,0.844467,2,"{""co_purchased_with"": ""22629"", ""source"": ""동시구매"", ""segment_support"": 0.035714}"
12394,84997D,0.831183,3,"{""co_purchased_with"": ""20675"", ""source"": ""동시구매"", ""segment_support"": 0.03255}"
12395,20726,0.783397,1,"{""co_purchased_with"": ""20724"", ""source"": ""동시구매"", ""segment_support"": 0.24649}"
12395,22555,0.781082,2,"{""co_purchased_with"": ""22556"", ""source"": ""동시구매"", ""segment_support"": 0.196568}"
12395,22328,0.779097,3,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.174727}"
12396,21094,0.787941,1,"{""co_purchased_with"": ""21988"", ""source"": ""동시구매"", ""segment_support"": 0.02396}"
12396,21086,0.780523,2,"{""co_purchased_with"": ""22333"", ""source"": ""동시구매"", ""segment_support"": 0.020796}"
12396,21121,0.756345,3,"{""co_purchased_with"": ""22090"", ""source"": ""동시구매"", ""segment_support"": 0.03481}"
12397,22555,0.813939,1,"{""co_purchased_with"": ""22556"", ""source"": ""동시구매"", ""segment_support"": 0.055804}"
12397,23192,0.80106,2,"{""co_purchased_with"": ""23241"", ""source"": ""동시구매"", ""segment_support"": 0.029018}"
12397,23084,0.794023,3,"{""co_purchased_with"": ""23108"", ""source"": ""동시구매"", ""segment_support"": 0.102679}"
12398,22139,0.785359,1,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.089286}"
12398,22554,0.779861,2,"{""co_purchased_with"": ""22551"", ""source"": ""동시구매"", ""segment_support"": 0.078125}"
12398,22555,0.777938,3,"{""co_purchased_with"": ""22551"", ""source"": ""동시구매"", ""segment_support"": 0.055804}"
12399,22197,0.804807,1,"{""co_purchased_with"": ""21212"", ""source"": ""동시구매"", ""segment_support"": 0.129078}"
12399,22551,0.802323,2,"{""co_purchased_with"": ""22382"", ""source"": ""동시구매"", ""segment_support"": 0.130496}"
12399,21977,0.799157,3,"{""co_purchased_with"": ""84991"", ""source"": ""동시구매"", ""segment_support"": 0.160284}"
12400,22630,0.782742,1,"{""co_purchased_with"": ""22629"", ""source"": ""동시구매"", ""segment_support"": 0.040687}"
12400,22328,0.772224,2,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.028933}"
12400,21731,0.767186,3,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.035262}"
12401,85014B,0.77368,1,"{""co_purchased_with"": ""15056BL"", ""source"": ""동시구매"", ""segment_support"": 0.03255}"
12401,21533,0.748487,2,"{""co_purchased_with"": ""21843"", ""source"": ""동시구매"", ""segment_support"": 0.026221}"
12401,22501,0.746829,3,"{""co_purchased_with"": ""21843"", ""source"": ""동시구매"", ""segment_support"": 0.019439}"
12402,20726,0.857331,1,"{""co_purchased_with"": ""22385"", ""source"": ""동시구매"", ""segment_support"": 0.064784}"
12402,22662,0.840395,2,"{""co_purchased_with"": ""22663"", ""source"": ""동시구매"", ""segment_support"": 0.037375}"
12402,22382,0.838696,3,"{""co_purchased_with"": ""22385"", ""source"": ""동시구매"", ""segment_support"": 0.098837}"
12403,84997B,0.948738,1,"{""co_purchased_with"": ""84997C"", ""source"": ""동시구매"", ""segment_support"": 0.015625}"
12403,20675,0.796488,2,"{""co_purchased_with"": ""84997C"", ""source"": ""동시구매"", ""segment_support"": 0.015625}"
12403,21240,0.77201,3,"{""co_purchased_with"": ""84997C"", ""source"": ""동시구매"", ""segment_support"": 0.013393}"
12405,21212,0.804883,1,"{""co_purchased_with"": ""21977"", ""source"": ""동시구매"", ""segment_support"": 0.100814}"
12405,22139,0.796779,2,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12405,20726,0.767552,3,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.042495}"
12406,22197,0.81546,1,"{""co_purchased_with"": ""21212"", ""source"": ""동시구매"", ""segment_support"": 0.195008}"
12406,84692,0.789154,2,"{""co_purchased_with"": ""84375"", ""source"": ""동시구매"", ""segment_support"": 0.152886}"
12406,22993,0.783972,3,"{""co_purchased_with"": ""22961"", ""source"": ""동시구매"", ""segment_support"": 0.199688}"
12407,84991,0.844808,1,"{""co_purchased_with"": ""21977"", ""source"": ""동시구매"", ""segment_support"": 0.283151}"
12407,21232,0.811276,2,"{""co_purchased_with"": ""22646"", ""source"": ""동시구매"", ""segment_support"": 0.226209}"
12407,21231,0.79991,3,"{""co_purchased_with"": ""22646"", ""source"": ""동시구매"", ""segment_support"": 0.175507}"
12408,20726,0.847071,1,"{""co_purchased_with"": ""23206"", ""source"": ""동시구매"", ""segment_support"": 0.24649}"
12408,22382,0.830946,2,"{""co_purchased_with"": ""23206"", ""source"": ""동시구매"", ""segment_support"": 0.309672}"
12408,22383,0.816026,3,"{""co_purchased_with"": ""23206"", ""source"": ""동시구매"", ""segment_support"": 0.265991}"
12409,20750,0.762509,1,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.092199}"
12409,22328,0.751165,2,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.073759}"
12409,20749,0.751071,3,"{""co_purchased_with"": ""22139"", ""source"": ""동시구매"", ""segment_support"": 0.078014}"
12410,21770,0.796882,1,"{""co_purchased_with"": ""82552"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12410,21843,0.774292,2,"{""co_purchased_with"": ""21218"", ""source"": ""동시구매"", ""segment_support"": 0.108804}"
12410,22558,0.772481,3,"{""co_purchased_with"": ""22507"", ""source"": ""동시구매"", ""segment_support"": 0.078904}"
12411,20728,0.779175,1,"{""co_purchased_with"": ""22355"", ""source"": ""동시구매"", ""segment_support"": 0.046564}"
12411,22549,0.778194,2,"{""co_purchased_with"": ""21790"", ""source"": ""동시구매"", ""segment_support"": 0.024864}"
12411,20726,0.773134,3,"{""co_purchased_with"": ""22355"", ""source"": ""동시구매"", ""segment_support"": 0.042495}"
12412,22139,0.831387,1,"{""co_purchased_with"": ""21914"", ""source"": ""동시구매"", ""segment_support"": 0.208511}"
12412,23084,0.798437,2,"{""co_purchased_with"": ""21914"", ""source"": ""동시구매"", ""segment_support"": 0.066667}"
12412,21791,0.791063,3,"{""co_purchased_with"": ""21889"", ""source"": ""동시구매"", ""segment_support"": 0.148936}"
12413,20914,0.789674,1,"{""co_purchased_with"": ""22139"", ""source"": ""동시구매"", ""segment_support"": 0.058318}"
12413,20725,0.787187,2,"{""co_purchased_with"": ""85099B"", ""source"": ""동시구매"", ""segment_support"": 0.05651}"
12413,21731,0.779139,3,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.035262}"
12414,20973,0.799981,1,"{""co_purchased_with"": ""20974"", ""source"": ""동시구매"", ""segment_support"": 0.019934}"
12414,21380,0.798502,2,"{""co_purchased_with"": ""47590A"", ""source"": ""동시구매"", ""segment_support"": 0.056478}"
12414,22090,0.773976,3,"{""co_purchased_with"": ""47590B"", ""source"": ""동시구매"", ""segment_support"": 0.090532}"
12415,22558,0.802067,1,"{""co_purchased_with"": ""20914"", ""source"": ""동시구매"", ""segment_support"": 0.195788}"
12415,22197,0.787476,2,"{""co_purchased_with"": ""20914"", ""source"": ""동시구매"", ""segment_support"": 0.195008}"
12415,84375,0.765127,3,"{""co_purchased_with"": ""22993"", ""source"": ""동시구매"", ""segment_support"": 0.170827}"
12416,82583,0.931666,1,"{""co_purchased_with"": ""85152"", ""source"": ""동시구매"", ""segment_support"": 0.017179}"
12416,82552,0.92391,2,"{""co_purchased_with"": ""82551"", ""source"": ""동시구매"", ""segment_support"": 0.025316}"
12416,85150,0.91393,3,"{""co_purchased_with"": ""85152"", ""source"": ""동시구매"", ""segment_support"": 0.022604}"
12417,22507,0.7692,1,"{""co_purchased_with"": ""22667"", ""source"": ""동시구매"", ""segment_support"": 0.169267}"
12417,22139,0.76841,2,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.297972}"
12417,22487,0.76072,3,"{""co_purchased_with"": ""22169"", ""source"": ""동시구매"", ""segment_support"": 0.205148}"
12418,22139,0.791369,1,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12418,22561,0.766486,2,"{""co_purchased_with"": ""22623"", ""source"": ""동시구매"", ""segment_support"": 0.045208}"
12418,21914,0.748821,3,"{""co_purchased_with"": ""84077"", ""source"": ""동시구매"", ""segment_support"": 0.033002}"
12419,84836,0.759465,1,"{""co_purchased_with"": ""84970S"", ""source"": ""동시구매"", ""segment_support"": 0.106312}"
12419,21114,0.746205,2,"{""co_purchased_with"": ""22128"", ""source"": ""동시구매"", ""segment_support"": 0.069767}"
12419,71459,0.744006,3,"{""co_purchased_with"": ""84755"", ""source"": ""동시구매"", ""segment_support"": 0.070598}"
12420,21232,0.775927,1,"{""co_purchased_with"": ""22649"", ""source"": ""동시구매"", ""segment_support"": 0.047468}"
12420,21843,0.764805,2,"{""co_purchased_with"": ""22423"", ""source"": ""동시구매"", ""segment_support"": 0.040235}"
12420,22139,0.759447,3,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12421,21231,0.772527,1,"{""co_purchased_with"": ""21232"", ""source"": ""동시구매"", ""segment_support"": 0.099291}"
12421,22645,0.749243,2,"{""co_purchased_with"": ""22646"", ""source"": ""동시구매"", ""segment_support"": 0.080851}"
12421,85123A,0.740777,3,"{""co_purchased_with"": ""21733"", ""source"": ""동시구매"", ""segment_support"": 0.337589}"
12422,22386,0.807252,1,"{""co_purchased_with"": ""85099F"", ""source"": ""동시구매"", ""segment_support"": 0.139007}"
12422,22662,0.779783,2,"{""co_purchased_with"": ""22382"", ""source"": ""동시구매"", ""segment_support"": 0.095035}"
12422,21429,0.773511,3,"{""co_purchased_with"": ""22505"", ""source"": ""동시구매"", ""segment_support"": 0.086525}"
12423,20726,0.801569,1,"{""co_purchased_with"": ""22382"", ""source"": ""동시구매"", ""segment_support"": 0.24649}"
12423,22551,0.784787,2,"{""co_purchased_with"": ""22554"", ""source"": ""동시구매"", ""segment_support"": 0.230889}"
12423,20728,0.777042,3,"{""co_purchased_with"": ""20725"", ""source"": ""동시구매"", ""segment_support"": 0.277691}"
12424,22083,0.784904,1,"{""co_purchased_with"": ""22090"", ""source"": ""동시구매"", ""segment_support"": 0.044304}"
12424,21977,0.766358,2,"{""co_purchased_with"": ""21212"", ""source"": ""동시구매"", ""segment_support"": 0.068716}"
12424,22938,0.757901,3,"{""co_purchased_with"": ""21210"", ""source"": ""동시구매"", ""segment_support"": 0.018083}"
12425,22348,0.788212,1,"{""co_purchased_with"": ""21154"", ""source"": ""동시구매"", ""segment_support"": 0.017179}"
