customer_id,segment,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rationale,analyzed_at,created_at
12356,우수고객,22,6,5611.7300000000005,4,4,5,445,"마지막 구매 후 22일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 6회, 총 구매금액은 £5,611.73입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12357,신규고객,33,2,17437.66,4,2,5,425,"마지막 구매 후 33일이 지난 최근 구매 고객이며, 총 구매 횟수는 2회로 아직 낮은 편입니다. 총 구매금액은 £17,437.66이고, 최근성 점수 4점, 구매빈도 점수 2점, 구매금액 점수 5점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12358,우수고객,1,5,3447.07,5,4,5,545,"마지막 구매 후 1일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 5회, 총 구매금액은 £3,447.07입니다. 최근성 점수 5점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12359,우수고객,57,10,8873.39,4,5,5,455,"마지막 구매 후 57일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 10회, 총 구매금액은 £8,873.39입니다. 최근성 점수 4점, 구매빈도 점수 5점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12360,우수고객,52,6,3612.89,4,4,5,445,"마지막 구매 후 52일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 6회, 총 구매금액은 £3,612.89입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12361,이탈위험 고객,287,4,451.25,2,3,2,232,"마지막 구매 후 287일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 4회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £451.25이며, 최근성 점수 2점, 구매빈도 점수 3점, 구매금액 점수 2점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12362,우수고객,3,10,4737.2300000000005,5,5,5,555,"마지막 구매 후 3일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 10회, 총 구매금액은 £4,737.23입니다. 최근성 점수 5점, 구매빈도 점수 5점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12363,일반고객,109,2,552.0,3,2,2,322,"마지막 구매 후 109일이 지났고, 총 구매 횟수는 2회, 총 구매금액은 £552.00입니다. 최근성 점수 3점, 구매빈도 점수 2점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12364,일반고객,7,4,1208.1,5,3,4,534,"마지막 구매 후 7일이 지났고, 총 구매 횟수는 4회, 총 구매금액은 £1,208.10입니다. 최근성 점수 5점, 구매빈도 점수 3점, 구매금액 점수 4점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12365,일반고객,291,1,320.69,2,1,2,212,"마지막 구매 후 291일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £320.69입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12366,일반고객,633,1,500.24,1,1,2,112,"마지막 구매 후 633일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £500.24입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12367,신규고객,4,1,150.9,5,1,1,511,"마지막 구매 후 4일이 지난 최근 구매 고객이며, 총 구매 횟수는 1회로 아직 낮은 편입니다. 총 구매금액은 £150.90이고, 최근성 점수 5점, 구매빈도 점수 1점, 구매금액 점수 1점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12368,일반고객,628,1,917.7,1,1,3,113,"마지막 구매 후 628일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £917.70입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 3점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12369,이탈위험 고객,413,3,1511.15,1,3,4,134,"마지막 구매 후 413일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 3회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £1,511.15이며, 최근성 점수 1점, 구매빈도 점수 3점, 구매금액 점수 4점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12370,우수고객,51,7,3956.56,4,4,5,445,"마지막 구매 후 51일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 7회, 총 구매금액은 £3,956.56입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12371,일반고객,59,4,3347.38,3,3,5,335,"마지막 구매 후 59일이 지났고, 총 구매 횟수는 4회, 총 구매금액은 £3,347.38입니다. 최근성 점수 3점, 구매빈도 점수 3점, 구매금액 점수 5점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12372,일반고객,71,3,1196.04,3,3,3,333,"마지막 구매 후 71일이 지났고, 총 구매 횟수는 3회, 총 구매금액은 £1,196.04입니다. 최근성 점수 3점, 구매빈도 점수 3점, 구매금액 점수 3점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12373,이탈위험 고객,311,3,927.6500000000001,2,3,3,233,"마지막 구매 후 311일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 3회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £927.65이며, 최근성 점수 2점, 구매빈도 점수 3점, 구매금액 점수 3점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12374,일반고객,25,3,2669.2200000000003,4,3,4,434,"마지막 구매 후 25일이 지났고, 총 구매 횟수는 3회, 총 구매금액은 £2,669.22입니다. 최근성 점수 4점, 구매빈도 점수 3점, 구매금액 점수 4점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12375,신규고객,10,2,377.5,5,2,2,522,"마지막 구매 후 10일이 지난 최근 구매 고객이며, 총 구매 횟수는 2회로 아직 낮은 편입니다. 총 구매금액은 £377.50이고, 최근성 점수 5점, 구매빈도 점수 2점, 구매금액 점수 2점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12376,이탈위험 고객,389,2,383.15,2,2,2,222,"마지막 구매 후 389일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 2회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £383.15이며, 최근성 점수 2점, 구매빈도 점수 2점, 구매금액 점수 2점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12377,이탈위험 고객,315,4,3266.32,2,3,5,235,"마지막 구매 후 315일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 4회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £3,266.32이며, 최근성 점수 2점, 구매빈도 점수 3점, 구매금액 점수 5점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12378,일반고객,129,2,5416.32,3,2,5,325,"마지막 구매 후 129일이 지났고, 총 구매 횟수는 2회, 총 구매금액은 £5,416.32입니다. 최근성 점수 3점, 구매빈도 점수 2점, 구매금액 점수 5점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12379,일반고객,81,4,1470.22,3,3,4,334,"마지막 구매 후 81일이 지났고, 총 구매 횟수는 4회, 총 구매금액은 £1,470.22입니다. 최근성 점수 3점, 구매빈도 점수 3점, 구매금액 점수 4점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12380,우수고객,21,8,7210.650000000001,4,4,5,445,"마지막 구매 후 21일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 8회, 총 구매금액은 £7,210.65입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12381,일반고객,4,3,1474.81,5,3,4,534,"마지막 구매 후 4일이 지났고, 총 구매 횟수는 3회, 총 구매금액은 £1,474.81입니다. 최근성 점수 5점, 구매빈도 점수 3점, 구매금액 점수 4점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12383,충성고객,184,5,1628.56,3,4,4,344,"마지막 구매 후 184일이 지났고, 총 구매 횟수는 5회로 반복 구매 성향이 강합니다. 총 구매금액은 £1,628.56이며, 최근성 점수 3점, 구매빈도 점수 4점, 구매금액 점수 4점 기준으로 충성고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12384,신규고객,28,2,425.27000000000004,4,2,2,422,"마지막 구매 후 28일이 지난 최근 구매 고객이며, 총 구매 횟수는 2회로 아직 낮은 편입니다. 총 구매금액은 £425.27이고, 최근성 점수 4점, 구매빈도 점수 2점, 구매금액 점수 2점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12385,일반고객,379,1,1668.4,2,1,4,214,"마지막 구매 후 379일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £1,668.40입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 4점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12386,이탈위험 고객,337,2,401.9,2,2,2,222,"마지막 구매 후 337일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 2회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £401.90이며, 최근성 점수 2점, 구매빈도 점수 2점, 구매금액 점수 2점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12387,일반고객,415,1,143.94,1,1,1,111,"마지막 구매 후 415일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £143.94입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 1점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12388,우수고객,15,8,3901.11,5,4,5,545,"마지막 구매 후 15일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 8회, 총 구매금액은 £3,901.11입니다. 최근성 점수 5점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12389,이탈위험 고객,402,3,1433.33,2,3,4,234,"마지막 구매 후 402일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 3회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £1,433.33이며, 최근성 점수 2점, 구매빈도 점수 3점, 구매금액 점수 4점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12390,일반고객,79,1,504.84000000000003,3,1,2,312,"마지막 구매 후 79일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £504.84입니다. 최근성 점수 3점, 구매빈도 점수 1점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12391,우수고객,21,6,2724.84,4,4,4,444,"마지막 구매 후 21일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 6회, 총 구매금액은 £2,724.84입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 4점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12392,일반고객,591,1,234.75000000000003,1,1,1,111,"마지막 구매 후 591일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £234.75입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 1점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12393,충성고객,72,6,2399.45,3,4,4,344,"마지막 구매 후 72일이 지났고, 총 구매 횟수는 6회로 반복 구매 성향이 강합니다. 총 구매금액은 £2,399.45이며, 최근성 점수 3점, 구매빈도 점수 4점, 구매금액 점수 4점 기준으로 충성고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12394,일반고객,63,2,1080.48,3,2,3,323,"마지막 구매 후 63일이 지났고, 총 구매 횟수는 2회, 총 구매금액은 £1,080.48입니다. 최근성 점수 3점, 구매빈도 점수 2점, 구매금액 점수 3점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12395,우수고객,19,15,4241.17,5,5,5,555,"마지막 구매 후 19일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 15회, 총 구매금액은 £4,241.17입니다. 최근성 점수 5점, 구매빈도 점수 5점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12396,일반고객,674,1,931.4300000000001,1,1,3,113,"마지막 구매 후 674일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £931.43입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 3점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12397,신규고객,35,2,2214.9,4,2,4,424,"마지막 구매 후 35일이 지난 최근 구매 고객이며, 총 구매 횟수는 2회로 아직 낮은 편입니다. 총 구매금액은 £2,214.90이고, 최근성 점수 4점, 구매빈도 점수 2점, 구매금액 점수 4점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12398,신규고객,45,1,1435.66,4,1,4,414,"마지막 구매 후 45일이 지난 최근 구매 고객이며, 총 구매 횟수는 1회로 아직 낮은 편입니다. 총 구매금액은 £1,435.66이고, 최근성 점수 4점, 구매빈도 점수 1점, 구매금액 점수 4점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12399,충성고객,119,7,1842.3,3,4,4,344,"마지막 구매 후 119일이 지났고, 총 구매 횟수는 7회로 반복 구매 성향이 강합니다. 총 구매금액은 £1,842.30이며, 최근성 점수 3점, 구매빈도 점수 4점, 구매금액 점수 4점 기준으로 충성고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12400,일반고객,414,1,205.25,1,1,1,111,"마지막 구매 후 414일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £205.25입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 1점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12401,일반고객,303,1,69.3,2,1,1,211,"마지막 구매 후 303일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £69.30입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 1점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12402,이탈위험 고객,323,6,1136.9,2,4,3,243,"마지막 구매 후 323일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 6회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £1,136.90이며, 최근성 점수 2점, 구매빈도 점수 4점, 구매금액 점수 3점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12403,신규고객,49,2,947.36,4,2,3,423,"마지막 구매 후 49일이 지난 최근 구매 고객이며, 총 구매 횟수는 2회로 아직 낮은 편입니다. 총 구매금액은 £947.36이고, 최근성 점수 4점, 구매빈도 점수 2점, 구매금액 점수 3점 기준으로 신규고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12404,일반고객,682,1,63.24,1,1,1,111,"마지막 구매 후 682일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £63.24입니다. 최근성 점수 1점, 구매빈도 점수 1점, 구매금액 점수 1점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12405,일반고객,148,1,1390.39,3,1,4,314,"마지막 구매 후 148일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £1,390.39입니다. 최근성 점수 3점, 구매빈도 점수 1점, 구매금액 점수 4점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12406,우수고객,22,5,6390.36,4,4,5,445,"마지막 구매 후 22일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 5회, 총 구매금액은 £6,390.36입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12407,우수고객,49,5,1507.12,4,4,4,444,"마지막 구매 후 49일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 5회, 총 구매금액은 £1,507.12입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 4점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12408,우수고객,32,8,3905.77,4,4,5,445,"마지막 구매 후 32일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 8회, 총 구매금액은 £3,905.77입니다. 최근성 점수 4점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12409,충성고객,78,7,23419.29,3,4,5,345,"마지막 구매 후 78일이 지났고, 총 구매 횟수는 7회로 반복 구매 성향이 강합니다. 총 구매금액은 £23,419.29이며, 최근성 점수 3점, 구매빈도 점수 4점, 구매금액 점수 5점 기준으로 충성고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12410,이탈위험 고객,308,3,773.71,2,3,3,233,"마지막 구매 후 308일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 3회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £773.71이며, 최근성 점수 2점, 구매빈도 점수 3점, 구매금액 점수 3점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12411,일반고객,409,1,346.9,2,1,2,212,"마지막 구매 후 409일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £346.90입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12412,충성고객,74,6,2404.93,3,4,4,344,"마지막 구매 후 74일이 지났고, 총 구매 횟수는 6회로 반복 구매 성향이 강합니다. 총 구매금액은 £2,404.93이며, 최근성 점수 3점, 구매빈도 점수 4점, 구매금액 점수 4점 기준으로 충성고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
